127.0.0.1 - - [13/Jan/2018:08:13:22 +0800] "GET /airticket1/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:22 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:08:13:22 +0800] "GET /airticket1/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:22 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:08:13:27 +0800] "POST /airticket1/saveAdvice.do HTTP/1.1" 200 6028
127.0.0.1 - - [13/Jan/2018:08:13:27 +0800] "GET /airticket1/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:27 +0800] "GET /airticket1/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:27 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:08:13:27 +0800] "GET /airticket1/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:27 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:08:13:27 +0800] "GET /airticket1/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:34 +0800] "GET /airticket1/listAdvice.do?userid=1 HTTP/1.1" 200 6028
127.0.0.1 - - [13/Jan/2018:08:13:34 +0800] "GET /airticket1/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:34 +0800] "GET /airticket1/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:34 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:08:13:34 +0800] "GET /airticket1/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:34 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:08:13:34 +0800] "GET /airticket1/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:46 +0800] "GET /airticket1/queryAirLine.do HTTP/1.1" 200 4856
127.0.0.1 - - [13/Jan/2018:08:13:46 +0800] "GET /airticket1/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:46 +0800] "GET /airticket1/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:46 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:08:13:46 +0800] "GET /airticket1/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:46 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:08:15:18 +0800] "GET /airticket1/queryAirLine.do HTTP/1.1" 200 4846
127.0.0.1 - - [13/Jan/2018:08:15:18 +0800] "GET /airticket1/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:15:18 +0800] "GET /airticket1/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:15:18 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:08:15:18 +0800] "GET /airticket1/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:15:18 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:08:15:20 +0800] "GET /airticket1/queryAirLine.do HTTP/1.1" 200 4846
127.0.0.1 - - [13/Jan/2018:08:15:20 +0800] "GET /airticket1/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:15:20 +0800] "GET /airticket1/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:15:20 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:08:15:20 +0800] "GET /airticket1/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:15:20 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:16 +0800] "GET /airticket1/toUserCenter.do HTTP/1.1" 500 3702
127.0.0.1 - - [13/Jan/2018:09:11:18 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:18 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:20 +0800] "GET /airticket1/toUserCenter.do HTTP/1.1" 500 3702
127.0.0.1 - - [13/Jan/2018:09:11:21 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:21 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:21 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:21 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:22 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:22 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:23 +0800] "GET /airticket1/toUserCenter.do HTTP/1.1" 500 3702
127.0.0.1 - - [13/Jan/2018:09:11:24 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:24 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:24 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:24 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:24 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:24 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:24 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:24 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /airticket1/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1037
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /airticket1/js/holder.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:25 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:26 +0800] "GET /airticket1/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1037
127.0.0.1 - - [13/Jan/2018:09:11:26 +0800] "GET /airticket1/js/holder.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:27 +0800] "POST /airticket1/login.do HTTP/1.1" 200 2480
127.0.0.1 - - [13/Jan/2018:09:11:27 +0800] "GET /airticket1/css/signin.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:27 +0800] "GET /airticket1/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1037
127.0.0.1 - - [13/Jan/2018:09:11:27 +0800] "GET /airticket1/js/holder.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:36 +0800] "POST /airticket1/login.do HTTP/1.1" 200 6550
127.0.0.1 - - [13/Jan/2018:09:11:36 +0800] "GET /airticket1/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:36 +0800] "GET /airticket1/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:36 +0800] "GET /airticket1/uploadImages/jerry1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:36 +0800] "GET /airticket1/images/idcard.jpg HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:36 +0800] "GET /airticket1/images/phone.jpg HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:36 +0800] "GET /airticket1/images/email.jpg HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:36 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:09:11:36 +0800] "GET /airticket1/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:36 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:09:11:38 +0800] "GET /airticket1/toUserCenter.do HTTP/1.1" 200 6550
127.0.0.1 - - [13/Jan/2018:09:11:38 +0800] "GET /airticket1/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:38 +0800] "GET /airticket1/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:38 +0800] "GET /airticket1/uploadImages/jerry1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:38 +0800] "GET /airticket1/images/idcard.jpg HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:38 +0800] "GET /airticket1/images/phone.jpg HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:38 +0800] "GET /airticket1/images/email.jpg HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:09:11:38 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
